resolution    Li10nmW       Li20nmW       Li30nmW       Li40nmW       Li50nmW       Li60nmW       Li70nmW       Li80nmW       
0.000e+00      6.368e+00      1.827e+01      3.125e+01      4.125e+01      4.822e+01      5.916e+01      7.225e+01      8.017e+01      
1.000e-03      6.355e+00      1.826e+01      3.207e+01      4.125e+01      4.824e+01      5.640e+01      6.677e+01      8.024e+01      
2.000e-03      6.394e+00      1.827e+01      3.204e+01      4.126e+01      4.821e+01      5.918e+01      6.675e+01      7.605e+01      
5.000e-03      6.434e+00      1.821e+01      3.205e+01      4.127e+01      4.822e+01      5.917e+01      7.081e+01      7.599e+01      
8.000e-03      6.249e+00      1.815e+01      3.038e+01      4.125e+01      4.824e+01      5.914e+01      7.230e+01      8.011e+01      
1.000e-02      1.124e+01      1.814e+01      3.039e+01      4.124e+01      4.825e+01      5.917e+01      7.226e+01      8.031e+01      
1.200e-02      6.156e+00      1.816e+01      3.039e+01      4.125e+01      4.823e+01      5.916e+01      7.226e+01      8.027e+01      
1.500e-02      6.156e+00      1.787e+01      3.037e+01      4.126e+01      4.893e+01      5.916e+01      7.222e+01      8.022e+01      
2.000e-02      1.150e+01      1.765e+01      3.038e+01      4.130e+01      4.821e+01      5.912e+01      7.226e+01      8.015e+01      
2.500e-02      1.162e+01      1.793e+01      3.049e+01      4.132e+01      4.821e+01      5.912e+01      7.223e+01      8.017e+01      
3.000e-02      1.185e+01      1.834e+01      3.053e+01      4.130e+01      4.825e+01      5.914e+01      7.225e+01      8.020e+01      
3.500e-02      1.193e+01      1.761e+01      3.045e+01      4.128e+01      4.831e+01      5.916e+01      7.225e+01      8.024e+01      
4.000e-02      7.012e+00      1.745e+01      3.046e+01      4.129e+01      4.835e+01      5.917e+01      7.175e+01      8.017e+01      
4.500e-02      5.370e+00      1.744e+01      3.052e+01      4.130e+01      4.833e+01      5.915e+01      7.178e+01      8.018e+01      
5.000e-02      7.090e+00      1.792e+01      3.047e+01      4.130e+01      4.831e+01      5.915e+01      7.056e+01      8.022e+01      
